filename,category,alt,title,description,keywords,status
sunset-palm-tree-portrait.webp,portraits,"Woman in a swimsuit beneath a palm tree at sunset, gazing peacefully into the distance.",Sunset Portrait Beneath a Palm Tree,"A woman in a swimsuit stands barefoot beneath a palm tree at golden hour, bathed in warm sunset light and lost in a serene moment.","portraits, woman, beach, swimsuit, palm-trees, sunset, golden-hour, tropical",done
relaxing-sunset-portrait.webp,portraits,Woman in a swimsuit relaxing on white sand beneath a palm tree at sunset.,Relaxing on White Sand at Sunset,"A woman in a swimsuit lies on soft white sand beneath a palm tree, basking in warm sunset light with a calm, peaceful expression.","portraits, woman, beach, swimsuit, palm-trees, sunset, golden-hour, tropical",done
handmade-swimsuit-seashell-portrait.webp,portraits,Woman in a handmade swimsuit posing elegantly before delicate seashell decor.,Handmade Swimsuit & Seashell Decor Portrait,"A portrait of a woman wearing a unique handmade swimsuit, seated elegantly before delicate seashell decor in soft natural light.","portraits, woman, swimsuit, natural-light, artistic",done
bw-beach-portrait-woman-sand.webp,portraits,Black and white portrait of a woman in a swimsuit lying on the sand.,B&W Beach Portrait: Woman on Sand,"A black and white portrait of a woman in a swimsuit lying on the sand, capturing a serene and timeless moment with soft contrast and texture.","portraits, woman, beach, swimsuit, black-and-white, artistic",done
girl-embracing-palm-leaf.webp,portraits,Joyful girl embracing a large palm leaf against a clear blue sky.,Girl Embracing a Palm Leaf,"Against a bright blue sky, a girl joyfully embraces a palm leaf, her expression reflecting happiness and connection with nature.","portraits, girl, palm-trees, playful, tropical",done
horse-riding-scenic-shoreline.webp,portraits,Girl in a flowing blue dress riding a horse along a sandy shoreline.,Horse Riding on a Scenic Shoreline,"A girl in a flowing blue dress rides a horse along the sandy shore, capturing the essence of freedom and adventure.","portraits, girl, horse, beach, dress",done
eye-connection-girl-horse.webp,portraits,Intimate close-up split photo of a girl's eye and a horse's eye.,Eye Connection: Girl and Horse,"A captivating close-up reveals the eye of a girl on the left and the eye of a horse on the right, fostering an intimate connection between human and animal.","portraits, girl, horse, close-up, intimate, artistic",done
girl-petting-horse-beach.webp,portraits,Girl gently petting a horse on a beach with calming waves behind.,Girl Petting a Horse at the Beach,"Against a picturesque beach backdrop, a girl gently pets a horse — a heartwarming scene capturing the bond between them amidst the calming waves.","portraits, girl, horse, beach, intimate",done
girl-blue-dress-lotuses-almaty.webp,portraits,Girl in a flowing blue dress sitting gracefully among blooming lotuses.,Girl in Blue Dress Among Lotuses,"In a vibrant field of blooming lotuses, a girl in a flowing blue dress sits gracefully, presenting a beautiful harmony with nature.","portraits, girl, dress, flowers, lotus, field",done
sunset-silhouette-blonde-girl-almaty.webp,portraits,Blonde girl with an open back silhouetted against a stunning sunset.,Sunset Silhouette: Blonde Girl,"A blonde girl stands with her back to the camera, silhouetted by a breathtaking sunset. The warm sky evokes serenity and introspection.","portraits, woman, sunset, golden-hour, artistic",done
eye-portrait-book-background.webp,portraits,Close-up of a girl's eye framed by the soft texture of an open book page.,Eye Portrait with Book Background,"An intimate close-up features a girl's eye, beautifully framed by the soft texture of an open book page, evoking curiosity and a love for literature.","portraits, girl, close-up, intimate, artistic",done
modern-creation-homage-michelangelo.webp,portraits,"Girl reaching her hand toward a boy, posed as a modern homage to Michelangelo's Creation of Adam.",Modern Homage to The Creation of Adam,"A girl extends her hand toward a boy, recreating Michelangelo's iconic fresco — a contemporary interpretation capturing connection and aspiration.","portraits, woman, man, artistic, studio",done
girl-red-reading-kitchen.webp,portraits,Girl in a vibrant red outfit reading a book in a cozy kitchen.,"Girl in Red, Reading in the Kitchen","A girl in vibrant red sits in a cozy kitchen, engrossed in a book. The warm ambiance creates a sense of comfort and inspiration.","portraits, girl, dress, kitchen, interior, intimate",done
elegant-girl-golden-lion-statue.webp,portraits,Girl in a sleek black suit standing confidently beside a golden lion statue in an elegant interior.,Elegant Girl with Golden Lion,"A girl in a sleek black suit stands confidently in a stunning interior, complemented by an impressive golden lion statue — a portrait that radiates sophistication.","portraits, girl, interior, elegant, fashion",done
stylish-whiskey-toast-kitchen.webp,portraits,"Two girls — one in a black suit, one in white — toasting whiskey in an elegant kitchen.",Stylish Whiskey Toast,"In a beautifully designed kitchen, two girls — one in black, one in white — toast with whiskey, a moment of friendship and stylish celebration.","portraits, friends, kitchen, interior, playful, fashion",done
monica-bellucci-lookalike-portrait.webp,portraits,Portrait of a girl with striking features reminiscent of Monica Bellucci.,Monica Bellucci Look-Alike Portrait,"A stunning portrait features a girl with striking features reminiscent of Monica Bellucci, exuding grace and classic allure.","portraits, woman, portrait, elegant, artistic",done
stylish-breakfast-scene-almaty.webp,portraits,Girl in a crisp shirt lying casually on a table while enjoying breakfast.,Stylish Breakfast Scene,"A girl in a crisp shirt casually lies on a table, savoring her breakfast — a relaxed morning scene blending beauty with everyday life.","portraits, woman, kitchen, interior, intimate, fashion",done
girl-embracing-greek-statue-almaty.webp,portraits,Girl with short hair gently embracing the head of a Greek-style statue.,Girl Embracing a Greek Statue,"A striking portrait featuring a girl with short hair gently embracing a Greek-style statue head, highlighting the connection between modern beauty and classical art.","portraits, girl, artistic, studio, elegant",done
cozy-tea-reading-moment-almaty.webp,portraits,"Girl sitting comfortably indoors, sipping tea while reading a book.",Cozy Tea and a Book,"A girl sits comfortably indoors, enjoying a moment of tranquility as she sips tea and immerses herself in a book.","portraits, girl, interior, intimate",done
beach-horse-ride-mountain-view.webp,portraits,Girl in a flowing blue dress riding a horse along a sandy beach with mountains rising behind.,Beach Horse Ride with Mountain View,"A girl in a flowing blue dress rides gracefully on horseback along a sandy beach, majestic mountains rising behind — a vibrant scene of freedom and adventure.","portraits, girl, horse, beach, dress, mountains",done
summer-fun-girls-riding-horse-sea.webp,portraits,Two girls in bikinis riding a horse together through shallow ocean water.,Girls Riding a Horse in the Sea,"Two girls in vibrant bikinis joyfully ride a horse through shallow beach waters, capturing summer fun, friendship, and adventure.","portraits, friends, horse, beach, ocean, swimsuit, playful",done
aerial-view-red-bikini-palm-leaf.webp,portraits,Aerial view of a girl in a red bikini relaxing on a large palm leaf laid on the sand.,Aerial View: Red Bikini on Palm Leaf,"From above, a girl in a striking red bikini relaxes on a large palm leaf on the beach — a colorful tropical composition.","portraits, woman, beach, swimsuit, palm-trees, aerial, tropical",done
pink-bikini-beach-relaxation.webp,portraits,Girl in a pink bikini sitting gracefully on the sand at the beach.,Pink Bikini on the Beach,"A girl in a cheerful pink bikini sits gracefully on the sandy beach under warm sun, embodying summer relaxation.","portraits, girl, beach, swimsuit",done
chess-portrait-brown-suit.webp,portraits,Girl in a brown suit playing chess with focused concentration.,Chess Portrait in a Brown Suit,"A focused girl in a stylish brown suit plays chess, her intense gaze fixed on the board — a portrait of strategy, elegance, and intellectual beauty.","portraits, girl, fashion, intimate, portrait",done
girl-holding-lotus-lotus-field.webp,portraits,Girl in a pink dress cradling a pink lotus flower in a vibrant lotus field.,Girl Holding a Lotus,"Standing gracefully in a vibrant lotus field, a girl in a flowing pink dress gently cradles a pink lotus, embodying tranquility and femininity.","portraits, girl, dress, flowers, lotus, field",done
studio-portrait-white-dress-pearls.webp,portraits,Girl in a white dress and pearl earrings posing against a clean white studio background.,Studio Portrait: White Dress & Pearls,"Against a clean white backdrop, a girl in a white dress and pearl earrings stands gracefully — natural light enhances an ethereal, timeless quality.","portraits, girl, dress, studio, natural-light, elegant, portrait",done
vintage-style-saber-cyclorama.webp,portraits,Girl in vintage clothing posing with a saber on a studio cyclorama backdrop.,Vintage Style with a Saber,"On a studio cyclorama, a girl in vintage attire poses confidently with a saber — a striking blend of grace and empowerment.","portraits, girl, vintage, studio, fashion",done
